[INFO] 2026-03-12 23:46:25,027 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=low_stock message=Cheese low stock
[INFO] 2026-03-13 08:28:38,706 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T6
[INFO] 2026-03-13 15:58:36,102 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:58:36,630 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:58:39,207 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:58:40,249 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:58:48,271 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:58:49,277 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:06,241 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:20,667 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:28,838 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:37,732 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:40,901 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:43,775 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:46,776 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 15:59:49,714 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 16:00:21,958 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for Takeaway
[INFO] 2026-03-13 16:01:02,036 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T3
[INFO] 2026-03-13 16:01:44,784 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for table3
[INFO] 2026-03-13 16:01:45,725 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for table3
[INFO] 2026-03-13 16:01:46,399 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for table3
[INFO] 2026-03-13 16:01:47,225 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for table3
[INFO] 2026-03-13 16:01:48,237 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for table3
[INFO] 2026-03-13 16:41:38,978 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 16:41:40,028 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 17:15:34,980 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 17:16:01,076 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 17:17:25,123 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 19:18:18,823 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 19:18:20,792 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 19:18:59,271 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-13 19:20:40,691 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T2
[INFO] 2026-03-14 12:19:54,260 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T11
[INFO] 2026-03-14 12:19:56,305 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T11
[INFO] 2026-03-14 12:21:39,192 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 12:21:41,746 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 12:22:13,884 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 13:26:33,675 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 13:26:34,396 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 13:27:15,992 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 16:51:03,945 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 16:51:04,839 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T1
[INFO] 2026-03-14 19:30:51,927 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T6
[INFO] 2026-03-14 19:30:53,139 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T6
[INFO] 2026-03-14 19:31:33,450 pos.notifications [NOTIFICATION] tenant=3 outlet=3 type=order_ready message=Order ready for T6
[INFO] 2026-03-17 00:34:40,044 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 1
[INFO] 2026-03-17 00:34:40,957 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 1
[INFO] 2026-03-17 00:35:46,751 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 3
[INFO] 2026-03-17 00:35:50,179 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 3
[INFO] 2026-03-17 00:36:10,515 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 5
[INFO] 2026-03-17 01:02:14,615 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 7
[INFO] 2026-03-17 11:24:08,023 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 7
[INFO] 2026-03-17 16:55:50,927 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 2
[INFO] 2026-03-17 16:55:53,116 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 10
[INFO] 2026-03-17 16:55:53,449 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 10
[INFO] 2026-03-17 19:43:38,220 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 10
[INFO] 2026-03-17 19:44:01,060 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 1
[INFO] 2026-03-18 10:40:33,679 pos.notifications [NOTIFICATION] tenant=3 outlet=2 type=order_ready message=Order ready for Table 6
